"","mu","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.15,"Spatial_noncomm","1","1",150,1342,1,150,9,40,17.8933333333333,9,7.02631083732875,0.577660441362146,0.00334425602895297,0.161335825920105,3,0.0215573060482325,0.163772274237391,0.0465942793077674,21.4618621611193,0.6044203312825,0.148366890380313,2.98666666666667,2,2.01574944071588,503.445407225993,2,28.92,32.3594576073873,142,4338,0.145857278036178
"2",0.15,"Spatial_noncomm","1","1",150,1321,1,150,9,37,17.6133333333333,9,7.16183210042196,0.570918005315274,0.00333098877657186,0.158956438302994,3,0.0189211107762642,0.156435174211899,0.0482275397305878,20.7350407171146,0.592188825592525,0.130111856823266,2.98,2,2.02335570469799,501.553554332743,1,26.4,26.3405676354118,123,3960,0.132404278563559
"3",0.15,"Spatial_noncomm","1","1",150,1329,1,150,8,38,17.72,8,7.09353960533846,0.57020713538057,0.00333761101927986,0.165117621421814,3,0.0217951247755971,0.160401777090979,0.0475120041217295,21.0473125368048,0.603682822802438,0.136107382550336,2.98666666666667,2,2.01914988814318,502.230254141259,2,27.68,29.0297972351992,141,4152,0.10594136724513
"4",0.15,"Spatial_noncomm","1","1",150,1329,1,150,8,40,17.72,8,6.90912507186443,0.561837221220094,0.00332969357772223,0.155145853757858,3,0.0188848756054124,0.173520368946964,0.0466140472693198,21.4527606715278,0.653036010535195,0.149530201342282,2.98666666666667,2,2.02496644295302,501.343325097736,1,30.1,34.6293412465179,189,4515,0.180148502422855
"5",0.15,"Spatial_noncomm","1","1",150,1320,1,150,9,39,17.6,9,7.16862990725448,0.583021570009783,0.00333514097824737,0.136707991361618,3,0.0211524716639396,0.157647058823529,0.0478720703802672,20.889006722638,0.589324227083809,0.143624161073826,3,3,2.02129753914989,502.380384745675,1,26.8,27.8758031755959,127,4020,0.112237642375989
"6",0.15,"Spatial_noncomm","1","1",150,1323,1,150,9,37,17.64,9,7.08643736625578,0.571823486482238,0.0033265683767313,0.164037734270096,3,0.0155253263180066,0.155907189645648,0.0481510756939926,20.7679680170626,0.623707556977586,0.12993288590604,3,3,2.02586129753915,502.349411226754,2,26.34,26.4582309797383,150,3951,0.145410406492113
"7",0.15,"Spatial_noncomm","1","1",150,1312,1,150,9,40,17.4933333333333,9,7.07997062535387,0.562003273667295,0.00331630443117443,0.158509597182274,3,0.0229749780822013,0.157051792828685,0.0482546514139169,20.7233908172341,0.600700354937939,0.151051454138702,2.99333333333333,2,2.03248322147651,499.303450782055,2,26.28,27.0793316265797,127,3942,0.118976427184953
"8",0.15,"Spatial_noncomm","1","1",150,1317,1,150,9,40,17.56,9,7.24381734749014,0.585291939384042,0.00333667254828811,0.161121517419815,3,0.0276005732450545,0.15904720794255,0.0479647119622033,20.8486605900607,0.575117079680747,0.150604026845638,2.98666666666667,2,2.02004474272931,501.031510293345,1,27.02,28.2352224222672,126,4053,0.094075455599454
"9",0.15,"Spatial_noncomm","1","1",150,1319,1,150,9,37,17.5866666666667,9,7.07838581714143,0.563344135262816,0.00332490376462377,0.146054536104202,3,0.0203430233398505,0.164135537059682,0.0476243358047791,20.9976681690467,0.611202302193067,0.130290827740492,2.98666666666667,2,2.02738255033557,502.418225522378,1,27.74,30.0856562402982,143,4161,0.172411851657743
"10",0.15,"Spatial_noncomm","1","1",150,1317,1,150,9,38,17.56,9,7.09992061457461,0.568987476409407,0.00333176725612672,0.172571286559105,3,0.0199366321007354,0.15263346470799,0.0484161837388999,20.6542507644309,0.60465165613266,0.137181208053691,2.98666666666667,2,2.02246085011186,501.599628421551,1,25.56,26.3554637560916,128,3834,0.114202574824596
"11",0.15,"Spatial_noncomm","1","1",150,1319,1,150,9,37,17.5866666666667,9,7.02939765010523,0.570512029710637,0.00332943142014663,0.137180909514427,3,0.0200387614926043,0.164990571967316,0.0476573921311817,20.9831036756564,0.61287287070054,0.130290827740492,2.98,2,2.02460850111857,501.398116573123,1,28,30.7619131721911,149,4200,0.141728390745436
