"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.1,"ER","1","1",50,126,1,50,2,9,5.04,2,1.02922892548484,0.301111020714897,0.00820731919024439,0.348041068279163,5,0.0719058484052237,0.0821917808219178,0.174673931589067,5.72495272135152,0.464841244459676,0.0808163265306122,3.94,3,2.51020408163265,94.5999022247222,0,0.96,1.21150943126367,4,48,0.0316878193505835
"2",0.1,"ER","1","1",50,123,1,50,1,10,4.92,1,0.740871978916787,0.221226890907767,0.00796877573180096,0.367076475642805,5,0.0811369311634213,0.101522842639594,0.174822972787387,5.72007204806065,0.570098569226144,0.103673469387755,4.2,3,2.59265306122449,90.0509901706422,0,1.2,1.14285714285714,4,60,-0.276199537855103
"3",0.1,"ER","1","1",50,121,0,49,0,11,4.84,0,-5.77571564771409e-16,9.72753647842008e-16,-1,0.318796530291647,6,0.0861819350339759,0.0976027397260274,0.168943842115996,5.91912666052312,0.619979335207743,0.125714285714286,4.62,0,2.60884353741497,89.0601287030112,0,1.14,1.64142794976987,7,57,-0.0208572862856866
"4",0.1,"ER","1","1",50,116,1,50,1,9,4.64,1,0.766883282254673,0.231663471881048,0.00779361976820803,0.370726813317479,5,0.0955143299478993,0.0909090909090909,0.188703569019944,5.29931683430062,0.514564910681185,0.0889795918367347,4.2,3,2.64489795918367,89.2481312931437,0,0.9,1.03509833901353,3,45,-0.153670402924497
"5",0.1,"ER","1","1",50,114,0,49,0,10,4.56,0,-2.51092553902512e-16,2.49455769288654e-16,-1,0.340951061865189,5,0.102105152240512,0.111545988258317,0.173434526730052,5.76586461100956,0.683880747925407,0.111020408163265,4.44,0,2.75085034013605,86.57019170407,0,1.14,1.22906966641357,6,57,0.0820542148004103
"6",0.1,"ER","1","1",50,115,1,50,2,13,4.6,2,0.717247837786475,0.219266485292143,0.00775951943604072,0.328620037807183,5,0.176966750373664,0.0778443113772455,0.181909676031218,5.49723369211206,0.713547432795252,0.171428571428571,4.2,3,2.66204081632653,88.6888425163393,0,0.78,0.953832227578491,5,39,-0.061029287286271
"7",0.1,"ER","1","1",50,111,1,50,1,8,4.44,1,0.617208849781061,0.207452218051135,0.00762713967663698,0.30748315883451,6,0.0786147118534666,0.0787746170678337,0.192761392641963,5.18776081814998,0.5537425960971,0.0726530612244898,4.3,3,2.70775510204082,87.5841827746768,0,0.72,1.1255837487767,4,36,-0.100972731621752
"8",0.1,"ER","1","1",50,119,1,50,1,9,4.76,1,0.826170169491585,0.265024860046758,0.00795389131900892,0.326495304003954,5,0.091289270778835,0.0609981515711645,0.178331414793704,5.60753696232832,0.528396402370986,0.086530612244898,4.06,3,2.59591836734694,90.1157608535189,0,0.66,0.688387645894672,3,33,-0.0209207615818733
"9",0.1,"ER","1","1",50,121,1,50,1,10,4.84,1,0.703786448912626,0.244313530989745,0.00799802653720571,0.337750153678027,5,0.111631996237369,0.122241086587436,0.166981276144044,5.98869539802394,0.543063223427904,0.10530612244898,4.12,3,2.58857142857143,89.5487978092533,0,1.44,1.92894176338494,7,72,0.0121014019031007
"10",0.1,"ER","1","1",50,117,1,50,1,9,4.68,1,0.621514908591923,0.233554909747173,0.00766837297310631,0.364928044415224,5,0.0664464610828871,0.100393700787402,0.178393968167789,5.60557069429303,0.667394512183694,0.0881632653061225,4.38,3,2.69877551020408,89.3692768704098,0,1.02,1.60979146830531,7,51,0.151524273438783
