"","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"LAT","1","1",100,180,1,100,2,4,3.6,2,0.0978869674096877,0.0285980083204871,0.00155162330858025,0.641975308641975,18,0.0699027286733076,0,0.260554279056601,3.83797189445799,0.516590305319305,0.00404040404040404,14,10,6.66666666666667,153.496600314833,0,0,0,0,0,0.5706106870229
"2",2,"LAT","1","1",100,502,1,100,5,12,10.04,5,0.650674534207399,0.0706041577677066,0.00287532475190232,0.538170029047158,9,0.0349638699152235,0.486963835155593,0.0913063177369675,10.9521446575118,0.489934003606976,0.0197979797979798,7.24,5,3.58585858585859,236.304674837114,7,23.16,7.45995369227645,30,2316,0.530851686708999
"3",3,"LAT","1","1",100,930,1,100,9,24,18.6,9,2.2582370784714,0.137034214020311,0.0040168800636754,0.454534628280726,6,0.0219108842841552,0.556579857109933,0.0488947238741084,20.4521044555799,0.458229840218692,0.0545454545454545,5,4,2.56,265.60104230147,28,96.6,34.7423416457541,138,9660,0.468054615911797
"4",4,"LAT","1","1",100,1430,1,100,14,40,28.6,14,5.55602817312792,0.226580777923868,0.0050087610081139,0.365135214435914,5,0.0177178846153622,0.611327198558012,0.0318952066408625,31.3526734991851,0.42583081333764,0.115151515151515,3.88,3,2.04888888888889,291.666841445756,75,257.76,100.855844719785,414,25776,0.360954777963891
"5",5,"LAT","1","1",100,1970,1,100,20,58,39.4,20,10.9500169952927,0.33318124612869,0.00588122403838559,0.276210801618181,4,0.0134904398501974,0.65060062286816,0.0234003953558266,42.7343207152696,0.391197424366028,0.187878787878788,3.2,2,1.74141414141414,301.29246053891,160,526.44,213.158276661008,922,52644,0.223189376106585
"6",6,"LAT","1","1",100,2520,1,100,27,74,50.4,27,18.4005730460147,0.44670887270882,0.00663790649325646,0.200190854119426,3,0.0090010082547664,0.69595718303045,0.0185759010417536,53.833189450798,0.347001891721705,0.238383838383838,2.76,2,1.54181818181818,312.2982117793,301,920.64,364.940385888607,1648,92064,0.107939038232343
"7",7,"LAT","1","1",100,3052,1,100,35,86,61.04,35,27.542549566436,0.558168027255483,0.00731718704913696,0.148187639671642,3,0.00596666053066814,0.743478260869565,0.0156022091547889,64.0934876644095,0.29422338962399,0.252121212121212,2.4,2,1.39757575757576,313.286803927463,515,1429.56,520.468326790324,2455,142956,0.0306790461423149
"8",8,"LAT","1","1",100,3540,1,100,44,94,70.8,44,37.9531192445428,0.661375297716142,0.00793610908745465,0.104866258099524,3,0.00380453863008372,0.794805560774,0.0136694727534555,73.1557111262545,0.238159400777262,0.234343434343434,2.12,2,1.28686868686869,310.482485750465,826,2030.76,636.380438912372,3215,203076,-0.0130764709844651
"9",9,"LAT","1","1",100,3960,1,100,54,98,79.2,54,49.2732724530304,0.749588953224628,0.00849355219598615,0.0705231290174472,2,0.00206974713036491,0.844961338412281,0.0123789537855804,80.7822710482086,0.180245378990803,0.18989898989899,2,2,1.2,306.151283968218,1256,2670.72,678.229871940126,3808,267072,-0.0282016721576797
"10",10,"LAT","1","1",100,4290,1,100,63,99,85.8,63,59.4933619680457,0.81584545359592,0.00897166216079834,0.0531578289620248,2,0.000930084432894404,0.89063365970811,0.0115239538501941,86.775772707833,0.124737013185379,0.133333333333333,1.96,1,1.13333333333333,289.422909547206,1767,3278.28,646.508354254771,4191,327828,-0.0310614744006684
"11",11,"LAT","1","1",100,4530,1,100,71,99,90.6,71,68.1570419786005,0.864426316431968,0.00935220840727197,0.0106479978948292,2,0.000380088378312506,0.927581919465847,0.0109679544800983,91.174703707472,0.0798499621686534,0.0848484848484849,1.88,1,1.08484848484848,269.209395775797,2322,3789.84,567.09614241985,4431,378984,-0.0360309364549191
"12",12,"LAT","1","1",100,4698,1,100,78,99,93.96,78,75.6191304930687,0.902060136489442,0.00963722671590436,0.0106093215395046,2,0.000153029267624649,0.95525861832918,0.0106074997487568,94.2729223365947,0.0482354863612778,0.0509090909090909,1.76,1,1.05090909090909,250.46413095749,2885,4186.44,458.430090503217,4599,418644,-0.0424662982220678
"13",13,"LAT","1","1",100,4810,1,100,84,99,96.2,84,82.0281244960947,0.932073687177419,0.00983671078135247,0.00273868543099315,2,5.79761438220222e-05,0.974482632317929,0.0103787460692359,96.3507530995624,0.0270331316371194,0.0282828282828283,1.6,1,1.02828282828283,233.79537824532,3416,4469.64,338.877991810229,4711,446964,-0.0463472936822279
"14",14,"LAT","1","1",100,4880,1,100,89,99,97.6,89,87.4565578893576,0.956128006452413,0.00996595388781034,0,2,1.92795331723929e-05,0.986881937436932,0.0102395422063061,97.6606160560713,0.0136671831013138,0.0141414141414141,1.4,1,1.01414141414141,219.800086130052,3881,4655.28,224.773649557401,4781,465528,-0.0438790454617038
"15",15,"LAT","1","1",100,4920,1,100,93,99,98.4,93,91.9254445421888,0.975124030035045,0.0100420337832103,0,2,5.15940724136859e-06,0.994216614090431,0.0101606549967306,98.4188519659188,0.00593008198042399,0.00606060606060606,1.24,1,1.00606060606061,208.930927401437,4263,4765.32,129.479367725776,4821,476532,-0.0365413495067524
"16",16,"LAT","1","1",100,4940,1,100,96,99,98.8,96,95.4384471871911,0.989654845132153,0.010081045751634,0,2,9.59903941083493e-07,0.99802132662185,0.0101210537109682,98.803941620851,0.00200059570560154,0.00202020202020202,1.12,1,1.0020202020202,201.607883241702,4555,4821.96,60.5640023763158,4841,482196,-0.027809378071817
"17",17,"LAT","1","1",100,4948,1,100,98,99,98.96,98,97.9999999999999,0.999999999999996,0.0100969696969697,0,2,8.49899250818024e-08,0.999595632834614,0.010105054113252,98.9603804979709,0.000404280632950119,0.000404040404040404,1.04,1,1.00040404040404,197.920760995942,4752,4845.12,19.1037993999924,4849,484512,-0.0199958771235157
"18",18,"LAT","1","1",100,4950,1,100,99,99,99,99,99.9999999999996,1.01010101010101,0.0101010101010101,0,1,0,1,0.0101010101010101,98.9999999999998,1.45008721583694e-16,0,1,1,1,198,4851,4851,0,4851,485100,NA
